ep,fg,t,dcop,djaw,dgrip,fires
0,f1,5.371,3.822644444444445,-9.78464868665237,0.6499999999999986,False
1,f0,6.268389375999998,-2.659346666666666,-18.326231350849973,5.899999999999998,False
1,f1,7.268389375999995,-3.3389596292704553,-0.3649635314941406,13.350000000000001,False
2,f0,6.438051583999999,2.1547333333333327,-18.009859867364028,4.100000000000001,False
3,f0,5.103052287999997,-2.655842864030858,-10.430208054552043,-2.2000000000000024,False
4,f0,4.638249215999998,3.001455844155843,-17.47049703040954,6.600000000000002,False
5,f1,5.735916544,-6.038081286919834,-18.158216343941902,2.3000000000000016,False
6,f1,4.766787583999999,-2.865473717948719,-9.048188713679355,5.200000000000002,False
7,f1,4.700134399999998,-2.946063333333334,-0.43412443421647495,-1.4000000000000008,False
9,f1,4.210782720000001,-2.806132738095238,0.14598655700683594,-1.8000000000000012,False
12,f1,5.666666793823241,-2.6614437500000037,-14.45256723262004,6.400000000000003,False
13,f1,4.137843456,-12.827636904761906,-28.301414438703034,0.2,False
14,f1,4.472718848000001,2.1903146198830403,-10.59762047638688,4.900000000000002,False
15,f0,4.033345792,2.069049999999999,-21.459773297376707,4.200000000000001,False
15,f1,5.333345792000001,3.9287357471264355,0.0,-4.3,False
16,f0,6.136258304000003,2.7385172955974832,-13.17965326526786,3.3000000000000016,False
16,f1,6.536258304000003,3.0747818803418774,-12.383141255244986,6.600000000000002,False
17,f1,4.408748800000001,2.8377089552238797,-14.64873570362024,6.600000000000002,False
17,f0,4.9087488000000015,2.3381147299508993,-13.219919487196155,2.100000000000001,False
18,f1,3.4709708800000003,-5.704361742424243,-13.927370178173373,6.000000000000002,False
19,f1,3.267854592,-13.103207142857144,-34.67402125323218,2.8000000000000003,False
19,f0,4.067854592000001,2.343429787234042,-14.011998496695014,2.9000000000000012,False
20,f1,3.7347025920000005,3.094012499999999,-17.19130981044229,3.800000000000001,False
21,f1,8.00184115199999,-6.462876027140498,-0.2798758199166471,-4.400000000000002,False
22,f1,6.3000001907348615,-4.997240404040406,-21.021899223327864,3.800000000000001,False
22,f0,6.60000019073486,-3.31727518939394,5.693446235964895,1.6999999999999997,True
23,f0,8.033333778381346,-8.3116,-0.2919712066652327,1.6,False
23,f0,10.233333778381338,-2.4699202380952388,5.109489440917969,-1.0,True
24,f1,5.2333332061767575,-3.6375226190476186,-18.321173674969117,0.0,False
25,f1,8.707067903999988,2.6307045454545444,-10.270000381985213,2.3000000000000007,False
25,f0,8.907067903999987,-7.40273277777778,-7.485003971012716,1.2000000000000008,False
26,f1,4.43333282470703,4.188174621212119,-19.12414801301321,6.600000000000003,False
26,f0,4.733332824707029,-7.618471978021972,-2.9197652619918912,-2.300000000000002,False
27,f1,6.738042879999998,-7.018639685314685,-19.960373976684693,-0.7000000000000006,False
27,f0,7.338042879999996,-4.447421666666666,-0.9600177128765921,0.40000000000000013,False
28,f1,6.233334064483639,-6.191875892857144,-5.620437622070437,2.3000000000000003,False
28,f1,8.73333406448363,2.4093766666666667,-5.547446341420699,1.2000000000000006,False
28,f1,11.133334064483622,3.70413642105263,1.8794693090740111e-06,1.2000000000000006,False
29,f1,5.436572415999999,2.154430092592591,-28.687266256144902,5.200000000000002,False
30,f1,6.533333873748777,-9.261156084656083,-33.795508749820456,-0.20000000000000018,False
31,f0,9.76666584014892,-6.716708333333333,5.474400947139774,0.5999999999999999,True
31,f1,9.76666584014892,-7.071649940476191,5.474400947139774,-1.3999999999999981,True
32,f1,5.566667175292965,2.357276000000006,-25.109491974768826,-5.000000000000002,False
32,f1,7.666667175292957,-6.535125084175088,-13.357616494791262,-1.0,False
