k,acc,macro_f1
1,0.7247874915481175,0.6332265479874142
3,0.7258782995759299,0.6344127405455257
5,0.7349967529176399,0.6357027133522617
7,0.7504570978546978,0.6482601263672594
9,0.7373429509350817,0.6384723896116158
15,0.7362780415916161,0.6325052841118296
25,0.711419760306284,0.6126563747879081
51,0.7042820829002961,0.6031121511882815
