cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len
38,94,389,267,56,66,1.867,2.2,322,72,306,72,307,139,237,141,228,0.0,0,165.667,245.567,-81.767,8.9,165.667,245.567,-81.767,8.9
39,95,347,273,62,12,2.067,0.4,334,78,316,78,315,135,200,123,190,0.0,0,174.567,258.533,-86.033,9.1,174.567,258.533,-86.033,9.1
40,96,436,321,54,61,1.8,2.033,374,68,358,67,358,177,248,182,240,0.0,0,183.667,270.1,-88.233,10.7,183.667,270.1,-88.233,10.7
41,97,401,290,69,42,2.3,1.4,358,85,342,84,343,151,286,157,236,0.0,0,194.367,284.633,-92.567,9.667,194.367,284.633,-92.567,9.667
42,98,371,288,58,25,1.933,0.833,345,74,329,74,330,146,238,130,230,0.0,0,204.033,298.0,-95.9,9.6,204.033,298.0,-95.9,9.6
43,99,472,297,79,96,2.633,3.2,375,96,358,95,358,177,273,185,263,0.0,0,213.633,310.367,-99.367,9.9,213.633,310.367,-99.367,9.9
44,100,491,346,83,62,2.767,2.067,428,97,412,96,413,178,326,181,278,0.0,0,223.533,326.1,-105.333,11.533,223.533,326.1,-105.333,11.533
45,101,400,275,79,46,2.633,1.533,353,92,338,91,338,178,264,187,256,0.0,0,235.067,342.467,-110.033,9.167,235.067,342.467,-110.033,9.167
46,102,377,267,64,46,2.133,1.533,330,76,321,75,324,141,217,146,209,0.0,0,244.233,355.8,-113.7,8.9,244.233,355.8,-113.7,8.9
47,103,440,322,82,36,2.733,1.2,403,97,386,97,386,179,297,182,285,0.0,0,253.133,368.367,-117.967,10.733,253.133,368.367,-117.967,10.733
48,104,441,284,84,73,2.8,2.433,367,102,351,102,351,173,263,177,255,0.0,0,263.867,383.033,-121.967,9.467,263.867,383.033,-121.967,9.467
49,105,441,275,96,70,3.2,2.333,370,3,353,3,354,186,284,189,260,0.0,0,273.333,397.733,-127.6,9.167,273.333,397.733,-127.6,9.167
