k,acc,macro_f1
1,0.4601999477833757,0.4262975358256046
3,0.4668307986950448,0.43207932418630823
5,0.4709035240405825,0.4345933543118871
9,0.48021371319940453,0.4409319123271982
15,0.48694141748809033,0.44863151354307707
25,0.4954156812634608,0.4579065939392331
51,0.5004353552354518,0.4595636597887854
101,0.5020528786874922,0.45774865239692214
201,0.5012851026212781,0.4505774767471668
