ep,finger,t,label,conf,jaw,cls,fn_hold_N,fn_near_N,fn_last_N,fn_near_ratio,fn_slope_near_rel,unload_80to20_s,fn_post_N,active_hold,active_last,active_slope_near,copy_travel_near_mm,copx_travel_near_mm,cop_speed_near_mm_s,copy_hold_mm,fs_hold_N,fs_near_N,mu_hold,mu_near,mu_max_near,mu_slope_near,shear_swing_deg,tau_max_near,tau_hold,hf_max_near,hf_hold,partner_fn_near_N,partner_fn_post_N,partner_slope_near_rel,partner_mu_near
0,0,2.707133952,release,medium,39.1,deliberate,0.0044444444444444444,2.9414634146341467,2.941176470588236,661.829268292683,65.47729048554251,0.0,0.0,0.022222222222222223,14.705882352941176,1.4550508996787217,0.31770787878787865,1.1255357575757574,0.16477100662091074,,0.0062853936105470905,2.952428927390088,,1.0038140575393926,1.0101525445522108,-0.002118725929220163,,0.41694909090909116,0.0,56.85363963811069,5.899529240167773,3.6707317073170738,0.0,,0.8795488573269931
0,1,2.73164416,release,medium,39.1,deliberate,0.1695652173913044,3.6951219512195137,3.3562500000000006,21.791744840525332,-1.1183269262081132,0.0,0.0,0.8478260869565217,16.6875,-1.2084138374101778,0.0,0.0,-0.44729538347379916,0.5443132478632476,0.17170010079645087,3.1949263575132743,1.0019694774566819,0.8794588896730454,1.0077822185373186,0.1064236777769087,6.367893168173595,12.118405714285714,0.05655183946488288,44.92059297056897,7.555848144280446,2.951219512195123,0.0,,1.0041545844103932
0,0,10.667516416,release,high,32.3,deliberate,6.193478260869565,4.965853658536585,2.8437500000000004,0.8017875334948507,-1.507624993508255,0.2552732159999991,0.0,7.0,13.8125,26.667127479339875,0.14429782051282047,-3.0760539743589743,1.9226018755163639,0.605587510989727,2.2671568097509267,2.7108134494543705,0.3660779534361033,0.6164657850346701,1.0714144828603167,1.9822510247561531,25.512517047863128,5.873163437500001,0.040100396211359156,49.76191491210275,1.2857032582020793e-14,4.273170731707318,0.2956521739130435,0.23715452567976686,0.5756404507823076
0,1,10.767818752,release,high,32.3,deliberate,4.300000000000002,3.8024390243902446,2.647058823529412,0.8842881452070332,-0.9570500738143947,0.02233215999999949,0.0,5.0,13.235294117647058,27.432138393672712,-4.8700423255813945,-0.1415827906976732,-22.537017512051577,9.205402325581398,1.2806248474865698,2.838599000174978,0.29781973197362077,0.7629784295174593,1.4142135623730951,2.8804535007314613,21.897877763440533,7.934676271186441,0.21162790697674447,112.30481853180925,5.670871826368324e-15,3.770731707317073,0.0,-2.457683395985813,0.766793059217899
1,1,12.640979712,release,high,25.2,deliberate,17.57608695652174,11.21951219512195,4.276470588235294,0.6383395930434258,-2.506713909510079,0.022513919999999743,0.0,20.043478260869566,19.705882352941178,-3.0843668596628775,-3.889887987012986,-4.651014529220779,-3.906643324365275,4.803291117296584,4.556303317287513,3.960576684333365,0.25925130204923613,0.4723726719376589,1.2806248474865698,1.9719304925261536,20.539958631519028,12.527580000000004,2.0330826293449102,128.23159362890726,1.7497062304988729,8.478048780487805,0.0,-2.086208872119546,0.5036386924114943
1,0,12.685516544,release,medium,27.2,deliberate,11.48,7.590243902439024,2.9117647058823533,0.66117107164103,-2.3518021595689476,0.21580774400000102,0.0,7.0,13.529411764705882,25.625733095048354,-0.44473106719367594,-4.484148221343873,1.2182714253040454,0.6301069393895365,3.566822894542853,3.3006501672736377,0.3107005857464991,0.5733535979572283,1.0714144828603167,2.175643459979258,11.994733703046279,6.099711944444444,0.19783880947705038,56.952754161579904,0.3742012581251906,9.582926829268292,0.0,-2.6992883031758566,0.5402127800594548
2,1,9.152626688,release,high,31.3,deliberate,7.188888888888887,6.709756097560976,5.305882352941177,0.9333509254721607,-0.6069529098708799,0.13191091200000038,0.0,31.044444444444444,25.176470588235293,-11.653811290369344,-0.07384016438356156,1.8844876712328766,-0.1942352408840407,4.4162049227923745,6.0829917269202545,5.79973036799861,0.8453520261734054,0.8667398999801618,1.0154137524956988,0.1530883136822522,2.036981719590301,24.0484488,8.44355149449288,127.03244397502463,18.64611700078496,4.987804878048781,0.0,-0.8625745779619763,0.7781340085592584
2,0,9.207847168,release,high,31.3,deliberate,5.386666666666667,4.582926829268293,2.758823529411765,0.8507908717701038,-1.4484261601158293,0.16561612799999992,0.0,19.2,12.941176470588236,-17.812067962424468,-2.081560681818182,1.7507700000000002,-4.97828096215521,2.2001449190941216,3.8821773858895074,3.6293627788012173,0.7199975514654468,0.8384700632118695,1.4142135623730951,1.1100964340022046,15.960873618232768,2.6894346268656717,1.1140017657719121,51.49277987652591,12.923709611680687,6.0878048780487815,0.0,-1.436007897483478,0.8377892873464425
3,1,9.664314624,release,high,29.5,deliberate,6.782222222222222,6.853658536585366,6.581250000000001,1.0105328772815907,-0.055621730459858236,0.05905305599999977,0.0,19.0,29.875,35.02240878280338,0.11084422332780441,2.615384742951907,2.577911678105509,3.6893583421591245,4.643580208688539,5.367180961502617,0.6847961412745899,0.7854729204957797,1.2201245526175264,1.0597400374074863,0.6612703480192863,12.67572146341463,3.6884781470725896,86.26521823991472,6.645528340040355,7.619512195121951,0.0,-0.8161795314413326,0.7830868929681272
3,0,9.682317056,release,high,29.5,deliberate,8.228888888888887,7.380487804878049,5.36875,0.8968996792317372,-1.074829051783799,0.1331046399999991,0.0,28.0,24.3125,-9.875416448750904,-1.5733214741318224,0.47358873139617264,-0.7362752800198876,2.9976341458416225,5.724005128607514,5.722518668952646,0.6956276633281113,0.8146249690653867,1.4142135623730951,1.2340119601044597,14.46729225443812,5.270443571428566,1.0291534224889107,121.15510210423594,0.37620828293915476,6.775609756097562,0.0,-0.1926433883432102,0.8080874215538432
4,0,8.583500288,release,high,32.5,deliberate,6.22888888888889,5.863414634146342,4.476470588235295,0.9413259312757237,-0.7549093096049166,0.08646707199999959,0.0,28.0,21.235294117647058,-16.1702414506409,-2.5083828784119104,0.45789317617866,-2.4234466200442415,3.2194479467485912,5.611334994177804,5.356702316692018,0.9009083989000702,0.9214454562593216,1.0714144828603167,0.2851448927117115,7.201843333027398,6.707019047619049,2.55616989656938,61.78669361476922,0.24774046900754287,7.841463414634145,0.0,-0.5070903147450563,0.80802594200834
4,1,8.597026816,release,high,32.5,deliberate,8.273333333333333,7.734146341463414,6.070588235294117,0.9348283249149977,-0.6469685286445594,0.11250560000000043,0.0,32.31111111111111,27.176470588235293,-9.399472653464784,-2.1595181704260655,0.4370466791979949,-1.132459229171723,4.139694565810084,6.493799935422278,6.220680042978347,0.7850209183974195,0.8140252971185998,1.0340464581257105,0.35100954252401234,4.544019898301201,9.884308333333333,7.388400963311657,48.168967701140595,10.722078138277611,5.756097560975611,0.0,-0.9432731685274329,0.9338524450384953
5,0,10.443208192,release,high,22.6,deliberate,5.537777777777778,5.158536585365855,4.135294117647059,0.9315174411776223,-0.6879590523168191,0.09870617600000031,0.0,21.0,18.352941176470587,-5.633165255335677,-1.5371193939393937,-1.3714890909090909,-1.287585702553059,2.4752804350649353,4.204759208325728,4.12958912040294,0.7593443216767168,0.8131206470732919,1.0540925533894596,0.5268616374583419,4.940493267907897,5.276980727272725,5.22811611125541,88.1449162927328,2.5636019594595693e-14,6.936585365853659,0.0,-0.560820107857666,1.000552999853637
